,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2021-12-03 04:32:59,32.3182,-86.9023,847064,16157,0,,1.0,17275.791143919716,6294119.0,0,1.9074119547047212,84000001.0,USA,128367.96898342608,0
1,Alaska,US,2021-12-03 04:32:59,61.3707,-152.4044,151667,883,0,,2.0,20732.4224757192,3539348.0,0,0.5821965226450052,84000002.0,USA,483818.22034187923,0
2,American Samoa,US,2021-12-03 04:32:59,-14.270999999999999,-170.132,4,0,0,,60.0,7.188943405043044,2140.0,0,0.0,16.0,ASM,3846.084721698028,0
3,Arizona,US,2021-12-03 04:32:59,33.7298,-111.4312,1276955,22383,0,,4.0,17543.682492395295,14629245.0,0,1.7528417211256466,84000004.0,USA,200986.58870787255,0
4,Arkansas,US,2021-12-03 04:32:59,34.9697,-92.3731,530994,8693,0,,5.0,17595.37730084525,4240583.0,0,1.6371183101880624,84000005.0,USA,140518.8342251518,0
5,California,US,2021-12-03 07:32:24,36.1162,-119.6816,5102245,74669,0,,6.0,12913.08008663547,111075785.0,0,1.4634538325776203,84000006.0,USA,281117.5291251013,0
6,Colorado,US,2021-12-03 04:32:59,39.0598,-105.3111,835738,9336,0,,8.0,14512.524970757471,13168745.0,0,1.1170965063213592,84000008.0,USA,228674.22642746608,0
7,Connecticut,US,2021-12-03 04:32:59,41.5978,-72.7554,424412,8909,0,,9.0,11904.006605919803,11173955.0,0,2.099139515376568,84000009.0,USA,313409.69184248,0
8,Delaware,US,2021-12-03 04:32:59,39.3185,-75.5071,154413,2182,0,,10.0,15857.332988280528,2499027.0,0,1.4130934571571045,84000010.0,USA,256635.7967638976,0
9,Diamond Princess,US,2021-12-03 04:32:59,0,,49,0,0,,88888.0,0,,0,0.0,84088888.0,USA,0,0
10,District of Columbia,US,2021-12-03 04:32:59,38.8974,-77.0268,67173,1197,0,,11.0,9517.973103752183,2400773.0,0,1.7819659684694744,84000011.0,USA,340173.77282858355,0
