,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2021-11-23 04:32:11,32.3182,-86.9023,843161,16073,0,,1.0,17196.189823553465,6233109.0,0,1.9062788720066512,84000001.0,USA,127123.67573322238,0
1,Alaska,US,2021-11-23 04:32:11,61.3707,-152.4044,148825,862,0,,2.0,20343.92962838924,3472086.0,0,0.5792037628086679,84000002.0,USA,474623.7073590825,0
2,American Samoa,US,2021-11-23 04:32:11,-14.270999999999999,-170.132,4,0,0,,60.0,7.1889434050430445,2140.0,0,0.0,16.0,ASM,3846.084721698028,0
3,Arizona,US,2021-11-23 04:32:11,33.7298,-111.4312,1245127,21942,0,,4.0,17106.407626508902,14371784.0,0,1.7622298769523108,84000004.0,USA,197449.41313146253,0
4,Arkansas,US,2021-11-23 04:32:11,34.9697,-92.3731,524440,8620,0,,5.0,17378.199511963005,4197332.0,0,1.6436579971016705,84000005.0,USA,139085.6397565912,0
5,California,US,2021-11-23 04:32:11,36.1162,-119.6816,5049468,73856,0,,6.0,12779.508761124374,108374406.0,0,1.4626491345226864,84000006.0,USA,274280.710553795,0
6,Colorado,US,2021-11-23 04:32:11,39.0598,-105.3111,811813,8951,0,,8.0,14097.069217967275,12795976.0,0,1.1025938239471405,84000008.0,USA,222201.1219128642,0
7,Connecticut,US,2021-11-23 04:32:11,41.5978,-72.7554,414978,8853,0,,9.0,11639.399577088745,10967117.0,0,2.133366106155025,84000009.0,USA,307608.2514535295,0
8,Delaware,US,2021-11-23 04:32:11,39.3185,-75.5071,150625,2159,0,,10.0,15468.327027904092,2485405.0,0,1.4333609958506224,84000010.0,USA,255236.89518199489,0
9,Diamond Princess,US,2021-11-23 04:32:11,0,,49,0,0,,88888.0,0,,0,0.0,84088888.0,USA,0,0
10,District of Columbia,US,2021-11-23 04:32:11,38.8974,-77.0268,66347,1196,0,,11.0,9400.93432650985,2354083.0,0,1.8026436764284743,84000011.0,USA,333558.1063522584,0
11,Florida,US,2021-11-23 04:32:11,27.7663,-81.6868,3721503,61147,0,,12.0,17327.258453718845,43329803.0,0,1.6430727047647151,84000012.0,USA,201742.8698377301,0
12,Georgia,US,2021-11-23 04:32:11,33.0406,-83.6431,1656992,30236,0,,13.0,15606.348169419265,12859762.0,0,1.8247523222803728,84000013.0,USA,121119.42794405008,0
13,Grand Princess,US,2021-11-23 04:32:11,0,,103,3,0,,99999.0,0,,0,2.912621359223301,84099999.0,USA,0,0
14,Guam,US,2021-11-23 04:32:11,13.4443,144.7937,19069,262,0,,66.0,11611.225788380856,258075.0,0,1.37395773244533,316.0,GUM,157143.3790621632,0
15,Hawaii,US,2021-11-23 04:32:11,21.0943,-157.4983,86939,1002,0,,15.0,6140.314943723725,2669462.0,0,1.1525322352454022,84000015.0,USA,188538.37070017628,0
16,Idaho,US,2021-11-23 04:32:11,44.2405,-114.4788,303928,3862,0,,16.0,17007.10382666551,1043045.0,0,1.270695691084731,84000016.0,USA,58366.371676463925,0
17,Illinois,US,2021-11-23 04:32:11,40.3495,-88.9861,1775253,28710,0,,17.0,14009.454521177344,37895788.0,0,1.6172342759032092,84000017.0,USA,299055.58167212113,0
18,Indiana,US,2021-11-23 04:32:11,39.8494,-86.2583,1077372,17316,0,,18.0,16003.222711560633,15111916.0,0,1.6072442944498282,84000018.0,USA,224471.54496905106,0
19,Iowa,US,2021-11-23 04:32:11,42.0115,-93.2105,513637,7268,0,,19.0,16279.733888630046,1751420.0,0,1.415007096451385,84000019.0,USA,55511.288180610885,0
20,Kansas,US,2021-11-23 04:32:11,38.5266,-96.7265,459085,6645,0,,20.0,15758.170935230459,1886827.0,0,1.4474443730463855,84000020.0,USA,64765.65862794056,0
21,Kentucky,US,2021-11-23 04:32:11,37.6681,-84.6701,773602,10707,0,,21.0,17315.546594390413,7617973.0,0,1.3840450257367485,84000021.0,USA,170513.21795485032,0
22,Louisiana,US,2021-11-23 04:32:11,31.1695,-91.8678,768041,14754,0,,22.0,16521.295630651734,10145140.0,0,1.9209911970845304,84000022.0,USA,218231.65319865762,0
23,Maine,US,2021-11-23 04:32:11,44.6939,-69.3819,115865,1272,0,,23.0,8619.548106995027,3084655.0,0,1.0978293703879516,84000023.0,USA,229476.823596278,0
24,Maryland,US,2021-11-23 04:32:11,39.0639,-76.8021,578851,11129,0,,24.0,9574.621878763017,14814741.0,0,1.9226018439978507,84000024.0,USA,245046.7275806857,0
25,Massachusetts,US,2021-11-23 04:32:11,42.2302,-71.5301,897874,19284,0,,25.0,13026.82059042992,32701639.0,0,2.14774010607279,84000025.0,USA,474452.2998394052,0
26,Michigan,US,2021-11-23 04:32:11,43.3266,-84.5361,1427191,24928,0,,26.0,14290.692256833157,18329235.0,0,1.7466477857553755,84000026.0,USA,183533.56816864407,0
27,Minnesota,US,2021-11-23 04:32:11,45.6945,-93.9002,875917,9316,0,,27.0,15531.456662420527,12684764.0,0,1.0635710917815269,84000027.0,USA,224921.83887175613,0
28,Mississippi,US,2021-11-23 04:32:11,32.7416,-89.6787,511935,10240,0,,28.0,17201.255716699667,2630658.0,0,2.0002539384882847,84000028.0,USA,88391.34062172289,0
29,Missouri,US,2021-11-23 04:32:11,38.4561,-92.2884,898167,12933,0,,29.0,14634.257216540871,7750167.0,0,1.4399326628566849,84000029.0,USA,126277.11477837295,0
30,Montana,US,2021-11-23 04:32:11,46.9219,-110.4544,188505,2567,0,,30.0,17637.432656735076,2158198.0,0,1.3617675923715549,84000030.0,USA,201931.36460518464,0
