,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2021-11-10 04:31:55,32.3182,-86.9023,837250,15879,0,,1.0,17075.635530782543,6118503.0,0,1.8965661391460136,84000001.0,USA,124786.29707016965,0
1,Alaska,US,2021-11-10 04:31:55,61.3707,-152.4044,143848,822,0,,2.0,19663.58870609464,3393256.0,0,0.5714365163227851,84000002.0,USA,463847.8835888428,0
2,American Samoa,US,2021-11-10 04:31:55,-14.270999999999999,-170.132,4,0,0,,60.0,7.1889434050430445,2140.0,0,0.0,16.0,ASM,3846.084721698028,0
3,Arizona,US,2021-11-10 04:31:55,33.7298,-111.4312,1195483,21486,0,,4.0,16424.36434882686,13914470.0,0,1.7972652057787522,84000004.0,USA,191166.52014359125,0
4,Arkansas,US,2021-11-10 04:31:55,34.9697,-92.3731,517000,8522,0,,5.0,17131.66262620104,4123003.0,0,1.6483558994197292,84000005.0,USA,136622.62360312333,0
5,California,US,2021-11-10 04:31:55,36.1162,-119.6816,4980896,72681,0,,6.0,12605.962463817841,105092073.0,0,1.4591952933769343,84000006.0,USA,265973.57734086487,0
6,Colorado,US,2021-11-10 04:31:55,39.0598,-105.3111,771061,8520,0,,8.0,13389.41392694508,12401858.0,0,1.1049709426361858,84000008.0,USA,215357.2936838917,0
7,Connecticut,US,2021-11-10 04:31:55,41.5978,-72.7554,406219,8806,0,,9.0,11393.72510544032,10757036.0,0,2.1677961887553265,84000009.0,USA,301715.85064540384,0
8,Delaware,US,2021-11-10 04:31:55,39.3185,-75.5071,146207,2124,0,,10.0,15014.62366651468,2428683.0,0,1.4527348211781923,84000010.0,USA,249411.86981650584,0
9,Diamond Princess,US,2021-11-10 04:31:55,0,,49,0,0,,88888.0,0,,0,0.0,84088888.0,USA,0,0
10,District of Columbia,US,2021-11-10 04:31:55,38.8974,-77.0268,65094,1193,0,,11.0,9223.392452557497,2280579.0,0,1.8327341997726363,84000011.0,USA,323143.07211203984,0
