,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2021-11-15 04:32:31,32.3182,-86.9023,839695,15981,0,,1.0,17125.50107736094,6156891.0,0,1.903191039603665,84000001.0,USA,125569.2167438104,0
1,Alaska,US,2021-11-15 04:32:31,61.3707,-152.4044,145167,831,0,,2.0,19843.89203671681,3423963.0,0,0.5724441505300791,84000002.0,USA,468045.4380796807,0
2,American Samoa,US,2021-11-15 04:32:31,-14.270999999999999,-170.132,4,0,0,,60.0,7.1889434050430445,2140.0,0,0.0,16.0,ASM,3846.084721698028,0
3,Arizona,US,2021-11-15 04:32:31,33.7298,-111.4312,1214419,21653,0,,4.0,16684.52008781218,14098439.0,0,1.7829925256439498,84000004.0,USA,193694.01228265915,0
4,Arkansas,US,2021-11-15 04:32:31,34.9697,-92.3731,519760,8567,0,,5.0,17223.119858015958,4157401.0,0,1.6482607357241803,84000005.0,USA,137762.4590596341,0
5,California,US,2021-11-15 04:32:31,36.1162,-119.6816,5009728,73111,0,,6.0,12667.45229697656,106608220.0,0,1.4607032057911065,84000006.0,USA,269810.73679402954,0
6,Colorado,US,2021-11-15 04:32:31,39.0598,-105.3111,781960,8620,0,,8.0,13578.674209062545,12542259.0,0,1.1023581768888435,84000008.0,USA,217795.3460620525,0
7,Connecticut,US,2021-11-15 04:32:31,41.5978,-72.7554,407750,8809,0,,9.0,11436.666949953818,10815373.0,0,2.1603923973022687,84000009.0,USA,303352.1004059421,0
8,Delaware,US,2021-11-15 04:32:31,39.3185,-75.5071,147875,2141,0,,10.0,15185.917737768083,2452384.0,0,1.4478444632290786,84000010.0,USA,251845.8271203289,0
9,Diamond Princess,US,2021-11-15 04:32:31,0,,49,0,0,,88888.0,0,,0,0.0,84088888.0,USA,0,0
10,District of Columbia,US,2021-11-15 04:32:31,38.8974,-77.0268,65371,1194,0,,11.0,9262.641534029803,2304153.0,0,1.8264979884046442,84000011.0,USA,326483.35314679873,0
11,Florida,US,2021-11-15 04:32:31,27.7663,-81.6868,3711612,60698,0,,12.0,17281.206115895733,42720401.0,0,1.6353541264550282,84000012.0,USA,198905.50387128774,0
12,Georgia,US,2021-11-15 04:32:31,33.0406,-83.6431,1647265,29861,0,,13.0,15514.734601795559,12686738.0,0,1.8127623667108808,84000013.0,USA,119489.8046352679,0
13,Grand Princess,US,2021-11-15 04:32:31,0,,103,3,0,,99999.0,0,,0,2.912621359223301,84099999.0,USA,0,0
14,Guam,US,2021-11-15 04:32:31,13.4443,144.7937,18913,258,0,,66.0,11516.23647467865,254587.0,0,1.3641410669909586,316.0,GUM,155019.51543271894,0
15,Hawaii,US,2021-11-15 04:32:31,21.0943,-157.4983,85790,977,0,,15.0,6059.163540207024,2617440.0,0,1.1388273691572444,84000015.0,USA,184864.1685124079,0
16,Idaho,US,2021-11-15 04:32:31,44.2405,-114.4788,299849,3745,0,,16.0,16778.852475987158,1033656.0,0,1.2489619775286895,84000016.0,USA,57840.985078886326,0
17,Illinois,US,2021-11-15 04:32:31,40.3495,-88.9861,1735586,28510,0,,17.0,13696.421374639052,37016510.0,0,1.6426728494007212,84000017.0,USA,292116.73681312264,0
18,Indiana,US,2021-11-15 04:32:31,39.8494,-86.2583,1054180,17088,0,,18.0,15590.327646798181,14884352.0,0,1.628087559250173,84000018.0,USA,221091.32219257872,0
19,Iowa,US,2021-11-15 04:32:31,42.0115,-93.2105,503564,7166,0,,19.0,15960.469973724832,1737725.0,0,1.4230564535987482,84000019.0,USA,55077.22491101624,0
20,Kansas,US,2021-11-15 04:32:31,38.5266,-96.7265,448652,6621,0,,20.0,15400.056430580433,1865569.0,0,1.4757540365361126,84000020.0,USA,64035.974151773546,0
21,Kentucky,US,2021-11-15 04:32:31,37.6681,-84.6701,759935,10214,0,,21.0,17009.637903221654,7515499.0,0,1.3440623211195697,84000021.0,USA,168219.5406870646,0
22,Louisiana,US,2021-11-15 04:32:31,31.1695,-91.8678,764354,14685,0,,22.0,16441.984738407424,10018987.0,0,1.92123021531908,84000022.0,USA,215517.981652876,0
23,Maine,US,2021-11-15 04:32:31,44.6939,-69.3819,111145,1230,0,,23.0,8268.413018184632,3016101.0,0,1.106662467947276,84000023.0,USA,224376.88400341614,0
24,Maryland,US,2021-11-15 04:32:31,39.0639,-76.8021,571625,11061,0,,24.0,9455.098516626751,14548741.0,0,1.9350098403673737,84000024.0,USA,240646.8916647921,0
25,Massachusetts,US,2021-11-15 04:32:31,42.2302,-71.5301,873281,19159,0,,25.0,12670.012620959324,32125866.0,0,2.193910093085731,84000025.0,USA,466098.6872258162,0
26,Michigan,US,2021-11-15 04:32:31,43.3266,-84.5361,1346868,24308,0,,26.0,13486.405182331138,17999860.0,0,1.8047796814535648,84000026.0,USA,180235.4834959588,0
27,Minnesota,US,2021-11-15 04:32:31,45.6945,-93.9002,841625,9120,0,,27.0,14923.402803587185,12383824.0,0,1.0836180008911331,84000027.0,USA,219585.67509369407,0
28,Mississippi,US,2021-11-15 04:32:31,32.7416,-89.6787,508469,10187,0,,28.0,17084.796493723938,2607670.0,0,2.003465304669508,84000028.0,USA,87618.93305745107,0
29,Missouri,US,2021-11-15 04:32:31,38.4561,-92.2884,877578,12841,0,,29.0,14298.790959339969,7645192.0,0,1.4632317583166397,84000029.0,USA,124566.70774793607,0
30,Montana,US,2021-11-15 04:32:31,46.9219,-110.4544,184394,2479,0,,30.0,17252.787763221182,2119256.0,0,1.3444038309272537,84000030.0,USA,198287.76415682206,0
31,Nebraska,US,2021-11-15 04:32:31,41.1254,-98.2681,296106,3048,0,,31.0,15307.318828292688,4037250.0,0,1.0293611071710806,84000031.0,USA,208707.2634108213,0
32,Nevada,US,2021-11-15 04:32:31,38.3135,-117.0554,447746,7807,0,,32.0,14536.471529364097,4676622.0,0,1.7436225002568415,84000032.0,USA,151830.68649769688,0
33,New Hampshire,US,2021-11-15 04:32:31,43.4525,-71.5639,144626,1622,0,,33.0,10636.524967437934,2749547.0,0,1.121513420823365,84000033.0,USA,202215.54433258247,0
34,New Jersey,US,2021-11-15 04:32:31,40.2989,-74.521,1218406,28172,0,,34.0,13717.405279553805,16128560.0,0,2.3122013516020106,84000034.0,USA,181583.14559810137,0
35,New Mexico,US,2021-11-15 04:32:31,34.8405,-106.2485,292078,5169,0,,35.0,13929.509750198991,5069208.0,0,1.7697327426235459,84000035.0,USA,241755.90856479,0
36,New York,US,2021-11-15 04:32:31,42.1657,-74.9481,2626522,56944,0,,36.0,13501.497232306208,78047146.0,0,2.1680381889053284,84000036.0,USA,401197.2203957929,0
37,North Carolina,US,2021-11-15 04:32:31,35.6301,-79.8064,1501801,18411,0,,37.0,14319.116818667737,17266674.0,0,1.2259280690317824,84000037.0,USA,164631.3473461883,0
38,North Dakota,US,2021-11-15 04:32:31,47.5289,-99.78399999999999,155154,1851,0,,38.0,20359.760754374318,1914645.0,0,1.1930082369774546,84000038.0,USA,251245.30550007746,0
39,Northern Mariana Islands,US,2021-11-15 04:32:31,15.0979,145.6739,342,3,0,,69.0,620.1944001160597,17542.0,0,0.8771929824561403,580.0,MNP,31811.25779776585,0
40,Ohio,US,2021-11-15 04:32:31,40.3888,-82.7649,1604488,25813,0,,39.0,13726.360455467058,17610833.0,0,1.5982045362757464,84000039.0,USA,150660.29891095124,0
41,Oklahoma,US,2021-11-15 04:32:31,35.5653,-96.9289,652731,11633,0,,40.0,16495.723622942904,4628491.0,0,1.7822043077469891,84000040.0,USA,116970.55651911526,0
42,Oregon,US,2021-11-15 04:32:31,44.571999999999996,-122.0709,378174,4750,0,,41.0,8966.277413693646,7798819.0,0,1.25603558150481,84000041.0,USA,184905.2940000764,0
43,Pennsylvania,US,2021-11-15 04:32:31,40.5908,-77.2098,1645244,32395,0,,42.0,12845.6679661262,19196571.0,0,1.9698984676810776,84000042.0,USA,149949.91012724664,0
44,Puerto Rico,US,2021-11-15 04:32:31,18.2208,-66.5901,186977,3257,0,,72.0,5854.568408870731,3051348.0,0,1.7419254774651427,630.0,PRI,95542.9042356594,0
45,Rhode Island,US,2021-11-15 04:32:31,41.6809,-71.5118,183257,2890,0,,44.0,17298.824480040326,5850214.0,0,1.5770202502496493,84000044.0,USA,552239.8880079596,0
46,South Carolina,US,2021-11-15 04:32:31,33.8569,-80.945,906945,13983,0,,45.0,17614.981138979558,9785724.0,0,1.5417693465425135,84000045.0,USA,190061.518274272,0
47,South Dakota,US,2021-11-15 04:32:31,44.2998,-99.4388,159343,2281,0,,46.0,18011.79889652397,1035451.0,0,1.4315031096439756,84000046.0,USA,117045.21177086313,0
