,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2021-11-01 04:32:12,32.3182,-86.9023,832047,15573,0,,1.0,16969.520831867452,6036696.0,0,1.8716490775160537,84000001.0,USA,123117.85094790428,0
1,Alaska,US,2021-11-01 04:32:12,61.3707,-152.4044,137887,725,0,,2.0,18848.73794503414,3318292.0,0,0.5257928593703539,84000002.0,USA,453600.5303843236,0
2,American Samoa,US,2021-11-01 04:32:12,-14.270999999999999,-170.132,4,0,0,,60.0,7.1889434050430445,2140.0,0,0.0,16.0,ASM,3846.084721698028,0
3,Arizona,US,2021-11-01 04:32:12,33.7298,-111.4312,1168900,21154,0,,4.0,16059.148885717084,13640095.0,0,1.809735648900676,84000004.0,USA,187396.9684492473,0
4,Arkansas,US,2021-11-01 04:32:12,34.9697,-92.3731,513215,8376,0,,5.0,17006.24029923746,4086372.0,0,1.632064534356946,84000005.0,USA,135408.7939442058,0
5,California,US,2021-11-01 04:32:12,36.1162,-119.6816,4929033,71950,0,,6.0,12441.20332080531,101779000.0,0,1.4636490204231418,84000006.0,USA,257588.64541739397,0
6,Colorado,US,2021-11-01 04:32:12,39.0598,-105.3111,740461,8186,0,,8.0,12858.047321495551,12053315.0,0,1.1055275024613045,84000008.0,USA,209304.87176352585,0
7,Connecticut,US,2021-11-01 04:32:12,41.5978,-72.7554,402583,8764,0,,9.0,11291.741730749869,10607939.0,0,2.1769423944875963,84000009.0,USA,297533.94327020517,0
8,Delaware,US,2021-11-01 04:32:12,39.3185,-75.5071,144198,2091,0,,10.0,14808.31084328441,2380931.0,0,1.450089460325386,84000010.0,USA,244508.01220829692,0
9,Diamond Princess,US,2021-11-01 04:32:12,0,,49,0,0,,88888.0,0,,0,0.0,84088888.0,USA,0,0
10,District of Columbia,US,2021-11-01 04:32:12,38.8974,-77.0268,64240,1190,0,,11.0,9102.386259137456,2225765.0,0,1.852428393524284,84000011.0,USA,315376.2881704402,0
11,Florida,US,2021-11-01 04:32:12,27.7663,-81.6868,3690812,59670,0,,12.0,17184.361648529357,41927326.0,0,1.6167174052755868,84000012.0,USA,195212.95935414426,0
12,Georgia,US,2021-11-01 04:32:12,33.0406,-83.6431,1634093,29065,0,,13.0,15390.67436608676,12383445.0,0,1.7786625363427908,84000013.0,USA,116633.24518576685,0
13,Grand Princess,US,2021-11-01 04:32:12,0,,103,3,0,,99999.0,0,,0,2.912621359223301,84099999.0,USA,0,0
