,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2021-12-09 04:32:46,32.3182,-86.9023,850096,16203,0,,1.0,17337.628500658244,6336444.0,0,1.9060200259735371,84000001.0,USA,129231.18340425662,0
1,Alaska,US,2021-12-09 04:32:46,61.3707,-152.4044,152977,886,0,,2.0,20911.49553342583,3566952.0,0,0.579172032397027,84000002.0,USA,487591.6040708364,0
2,American Samoa,US,2021-12-09 04:32:46,-14.270999999999999,-170.132,10,0,0,,60.0,17.97235851260761,2140.0,0,0.0,16.0,ASM,3846.084721698028,0
3,Arizona,US,2021-12-09 04:32:46,33.7298,-111.4312,1301597,22779,0,,4.0,17882.231167937975,14851253.0,0,1.750080862202356,84000004.0,USA,204036.68668530454,0
4,Arkansas,US,2021-12-09 04:32:46,34.9697,-92.3731,535450,8796,0,,5.0,17743.034338876878,4273984.0,0,1.6427304136707441,84000005.0,USA,141625.63241350336,0
5,California,US,2021-12-09 04:32:46,36.1162,-119.6816,5142787,75080,0,,6.0,13015.686310537374,113028993.0,0,1.4599088004228058,84000006.0,USA,286060.8298348589,0
6,Colorado,US,2021-12-09 04:32:46,39.0598,-105.3111,849269,9495,0,,8.0,14747.489726912294,13365969.0,0,1.1180203210054764,84000008.0,USA,232099.0057540405,0
7,Connecticut,US,2021-12-09 04:32:46,41.5978,-72.7554,433464,8946,0,,9.0,12157.899209797135,11317197.0,0,2.0638392115608215,84000009.0,USA,317427.37681426486,0
8,Delaware,US,2021-12-09 04:32:46,39.3185,-75.5071,157751,2206,0,,10.0,16200.12651936198,2513930.0,0,1.3984063492465975,84000010.0,USA,258166.24972786012,0
9,Diamond Princess,US,2021-12-09 04:32:46,0,,49,0,0,,88888.0,0,,0,0.0,84088888.0,USA,0,0
10,District of Columbia,US,2021-12-09 04:32:46,38.8974,-77.0268,68262,1197,0,,11.0,9672.277254377974,2438570.0,0,1.753537839500747,84000011.0,USA,345529.3595881822,0
11,Florida,US,2021-12-09 04:32:46,27.7663,-81.6868,3741058,61789,0,,12.0,17418.306220995255,44305327.0,0,1.6516450693894615,84000012.0,USA,206284.8939811489,0
12,Georgia,US,2021-12-09 04:32:46,33.0406,-83.6431,1675453,30755,0,,13.0,15780.222752733878,13211912.0,0,1.8356229628643717,84000013.0,USA,124436.14613451873,0
13,Grand Princess,US,2021-12-09 04:32:46,0,,103,3,0,,99999.0,0,,0,2.912621359223301,84099999.0,USA,0,0
14,Guam,US,2021-12-09 04:32:46,13.4443,144.7937,19287,267,0,,66.0,11743.967265221125,266832.0,0,1.3843521543008244,316.0,GUM,162475.56765248525,0
15,Hawaii,US,2021-12-09 04:32:46,21.0943,-157.4983,88512,1039,0,,15.0,6251.412557067306,2760675.0,0,1.173852133044107,84000015.0,USA,194980.54908918322,0
16,Idaho,US,2021-12-09 04:32:46,44.2405,-114.4788,310661,4001,0,,16.0,17383.866843119864,1061967.0,0,1.2878990282011582,84000016.0,USA,59425.202776619764,0
17,Illinois,US,2021-12-09 04:32:46,40.3495,-88.9861,1867912,29145,0,,17.0,14740.67539306308,40237790.0,0,1.5602983438191949,84000017.0,USA,317537.5504436181,0
18,Indiana,US,2021-12-09 04:32:46,39.8494,-86.2583,1140151,17909,0,,18.0,16935.73842443331,15721809.0,0,1.5707568558901408,84000018.0,USA,233530.8610727013,0
19,Iowa,US,2021-12-09 04:32:46,42.0115,-93.2105,541033,7445,0,,19.0,17148.05059792651,1790502.0,0,1.376071330214608,84000019.0,USA,56749.992868620975,0
20,Kansas,US,2021-12-09 04:32:46,38.5266,-96.7265,483062,6772,0,,20.0,16581.185550201593,1932901.0,0,1.4018904405645651,84000020.0,USA,66347.15653719443,0
21,Kentucky,US,2021-12-09 04:32:46,37.6681,-84.6701,805426,11418,0,,21.0,18027.863722344944,7874913.0,0,1.4176348913494226,84000021.0,USA,176264.31030202968,0
22,Louisiana,US,2021-12-09 04:32:46,31.1695,-91.8678,774913,14861,0,,22.0,16669.11891557251,10377380.0,0,1.91776367153474,84000022.0,USA,223227.3574608813,0
23,Maine,US,2021-12-09 04:32:46,44.6939,-69.3819,125373,1356,0,,23.0,9326.877010471562,3192439.0,0,1.0815725873992008,84000023.0,USA,237495.20164973976,0
24,Maryland,US,2021-12-09 04:32:46,39.0639,-76.8021,592679,11255,0,,24.0,9803.347183443384,15198334.0,0,1.8990043514280075,84000024.0,USA,251391.6383268714,0
25,Massachusetts,US,2021-12-09 04:32:46,42.2302,-71.5301,957889,19579,0,,25.0,13897.549264759116,34122857.0,0,2.0439737798429674,84000025.0,USA,495072.06598241604,0
26,Michigan,US,2021-12-09 04:32:46,43.3266,-84.5361,1553790,26648,0,,26.0,15558.348337219608,19064043.0,0,1.7150322759188823,84000026.0,USA,190891.31845985173,0
