,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
45,Rhode Island,US,2021-11-24 04:32:22,41.6809,-71.5118,188135,2913,0,,44.0,17759.290742249337,5961155.0,0,1.5483562335556913,84000044.0,USA,562712.333189536,0
46,South Carolina,US,2021-11-24 04:32:22,33.8569,-80.945,914384,14135,0,,45.0,17759.463819509103,9984226.0,0,1.5458494461845351,84000045.0,USA,193916.88876096046,0
47,South Dakota,US,2021-11-24 04:32:22,44.2998,-99.4388,163721,2318,0,,46.0,18506.678844616967,1050042.0,0,1.415823260302588,84000046.0,USA,118694.5478427281,0
48,Tennessee,US,2021-11-24 04:32:22,35.7478,-86.6923,1308237,16908,0,,47.0,19156.591997802367,10632334.0,0,1.2924263722857556,84000047.0,USA,155689.89748979892,0
49,Texas,US,2021-11-24 04:32:22,31.0545,-97.5635,4316239,73518,0,,48.0,14885.697040900395,36460233.0,0,1.703288441627074,84000048.0,USA,125742.80119303842,0
50,Utah,US,2021-11-24 04:32:22,40.15,-111.8624,587911,3457,0,,49.0,18338.075545593547,4705733.0,0,0.5880141722131411,84000049.0,USA,146780.86862023768,0
51,Vermont,US,2021-11-24 04:32:22,44.0459,-72.7107,47805,406,0,,50.0,7661.192745384937,2514584.0,0,0.8492835477460516,84000050.0,USA,402985.3090358965,0
52,Virgin Islands,US,2021-11-24 04:32:22,18.3358,-64.8963,7480,85,0,,78.0,6973.188648991311,219324.0,0,1.1363636363636365,850.0,VIR,204463.58653093188,0
53,Virginia,US,2021-11-24 04:32:22,37.7693,-78.17,959156,14573,0,,51.0,11237.231151380483,10350053.0,0,1.5193566010117228,84000051.0,USA,121258.6252810169,0
54,Washington,US,2021-11-24 04:32:22,47.4009,-121.4905,767045,9177,0,,53.0,10072.958346230207,9958651.0,0,1.1964095978723543,84000053.0,USA,130778.60713210286,0
55,West Virginia,US,2021-11-24 04:32:22,38.4912,-80.9545,290026,4770,0,,54.0,16183.159082374385,4535498.0,0,1.6446801321260849,84000054.0,USA,253076.2264479421,0
56,Wisconsin,US,2021-11-24 04:32:22,44.2685,-89.6165,958496,9873,0,,55.0,16462.11876339002,12160197.0,0,1.0300512469535603,84000055.0,USA,208850.7486731494,0
57,Wyoming,US,2021-11-24 04:32:22,42.756,-107.3025,110051,1347,0,,56.0,19014.99587911376,1133746.0,0,1.2239779738484884,84000056.0,USA,195892.59087115707,0
