,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2021-11-21 04:32:41,32.3182,-86.9023,842636,16073,0,,1.0,17185.48249760105,6213941.0,0,1.9074665691947648,84000001.0,USA,126732.746163973,0
1,Alaska,US,2021-11-21 04:32:41,61.3707,-152.4044,148083,862,0,,2.0,20242.50046135234,3472086.0,0,0.5821059811051911,84000002.0,USA,474623.7073590825,0
2,American Samoa,US,2021-11-21 04:32:41,-14.270999999999999,-170.132,4,0,0,,60.0,7.1889434050430445,2140.0,0,0.0,16.0,ASM,3846.084721698028,0
3,Arizona,US,2021-11-21 04:32:41,33.7298,-111.4312,1238249,21939,0,,4.0,17011.912951142353,14293174.0,0,1.771776112881981,84000004.0,USA,196369.41510433774,0
4,Arkansas,US,2021-11-21 04:32:41,34.9697,-92.3731,523866,8612,0,,5.0,17359.179058679754,4187633.0,0,1.643931845166512,84000005.0,USA,138764.24711478944,0
5,California,US,2021-11-21 04:32:41,36.1162,-119.6816,5036884,73720,0,,6.0,12747.660388533444,108374406.0,0,1.463603291241172,84000006.0,USA,274280.710553795,0
6,Colorado,US,2021-11-21 04:32:41,39.0598,-105.3111,804734,8878,0,,8.0,13974.14293692227,12795976.0,0,1.103221685675018,84000008.0,USA,222201.1219128642,0
7,Connecticut,US,2021-11-21 04:32:41,41.5978,-72.7554,412918,8850,0,,9.0,11581.620217390633,10967117.0,0,2.1432826856664042,84000009.0,USA,307608.2514535295,0
8,Delaware,US,2021-11-21 04:32:41,39.3185,-75.5071,150046,2159,0,,10.0,15408.867035544548,2479704.0,0,1.4388920730975834,84000010.0,USA,254651.43504997104,0
9,Diamond Princess,US,2021-11-21 04:32:41,0,,49,0,0,,88888.0,0,,0,0.0,84088888.0,USA,0,0
10,District of Columbia,US,2021-11-21 04:32:41,38.8974,-77.0268,66028,1196,0,,11.0,9355.73412077098,2304153.0,0,1.8113527594353909,84000011.0,USA,326483.35314679873,0
11,Florida,US,2021-11-21 04:32:41,27.7663,-81.6868,3721503,61081,0,,12.0,17327.258453718845,43174236.0,0,1.6412992277582472,84000012.0,USA,201018.55237355785,0
12,Georgia,US,2021-11-21 04:32:41,33.0406,-83.6431,1654649,30162,0,,13.0,15584.280667728885,12859762.0,0,1.822863942745561,84000013.0,USA,121119.42794405008,0
13,Grand Princess,US,2021-11-21 04:32:41,0,,103,3,0,,99999.0,0,,0,2.912621359223301,84099999.0,USA,0,0
14,Guam,US,2021-11-21 04:32:41,13.4443,144.7937,19069,262,0,,66.0,11611.225788380856,258075.0,0,1.37395773244533,316.0,GUM,157143.3790621632,0
15,Hawaii,US,2021-11-21 04:32:41,21.0943,-157.4983,86740,1002,0,,15.0,6126.260000904034,2651303.0,0,1.155176389209131,84000015.0,USA,187255.83951091624,0
16,Idaho,US,2021-11-21 04:32:41,44.2405,-114.4788,303296,3846,0,,16.0,16971.738576940403,1041732.0,0,1.2680681578392066,84000016.0,USA,58292.899251006536,0
17,Illinois,US,2021-11-21 04:32:41,40.3495,-88.9861,1763866,28660,0,,17.0,13919.5937190085,37895788.0,0,1.6248399821755168,84000017.0,USA,299055.58167212113,0
18,Indiana,US,2021-11-21 04:32:41,39.8494,-86.2583,1069450,17247,0,,18.0,15885.549771925125,15111916.0,0,1.6126981158539435,84000018.0,USA,224471.54496905106,0
19,Iowa,US,2021-11-21 04:32:41,42.0115,-93.2105,513637,7268,0,,19.0,16279.733888630046,1751420.0,0,1.415007096451385,84000019.0,USA,55511.288180610885,0
20,Kansas,US,2021-11-21 04:32:41,38.5266,-96.7265,456624,6636,0,,20.0,15673.696690435703,1886827.0,0,1.4532744665194997,84000020.0,USA,64765.65862794056,0
21,Kentucky,US,2021-11-21 04:32:41,37.6681,-84.6701,769732,10606,0,,21.0,17228.924319214948,7617973.0,0,1.37788217197674,84000021.0,USA,170513.21795485032,0
22,Louisiana,US,2021-11-21 04:32:41,31.1695,-91.8678,767330,14749,0,,22.0,16506.001341423173,10145140.0,0,1.9221195574264007,84000022.0,USA,218231.65319865762,0
23,Maine,US,2021-11-21 04:32:41,44.6939,-69.3819,115863,1271,0,,23.0,8619.399320940447,3084287.0,0,1.0969852325591432,84000023.0,USA,229449.44696223512,0
24,Maryland,US,2021-11-21 04:32:41,39.0639,-76.8021,577013,11111,0,,24.0,9544.220005028385,14741221.0,0,1.925606528795712,84000024.0,USA,243830.65263130039,0
25,Massachusetts,US,2021-11-21 04:32:41,42.2302,-71.5301,890733,19268,0,,25.0,12923.21526737094,32701639.0,0,2.1631622495180927,84000025.0,USA,474452.2998394052,0
26,Michigan,US,2021-11-21 04:32:41,43.3266,-84.5361,1408419,24841,0,,26.0,14102.725211745796,18329235.0,0,1.7637507020283028,84000026.0,USA,183533.56816864407,0
27,Minnesota,US,2021-11-21 04:32:41,45.6945,-93.9002,871203,9279,0,,27.0,15447.869648232368,12684764.0,0,1.0650789770007678,84000027.0,USA,224921.83887175613,0
28,Mississippi,US,2021-11-21 04:32:41,32.7416,-89.6787,510748,10229,0,,28.0,17161.371960879642,2630658.0,0,2.0027489094426216,84000028.0,USA,88391.34062172289,0
29,Missouri,US,2021-11-21 04:32:41,38.4561,-92.2884,895936,13002,0,,29.0,14597.906484605603,7723321.0,0,1.4512197299807128,84000029.0,USA,125839.70027835766,0
30,Montana,US,2021-11-21 04:32:41,46.9219,-110.4544,188013,2547,0,,30.0,17591.398775049634,2158198.0,0,1.3546935584241515,84000030.0,USA,201931.36460518464,0
31,Nebraska,US,2021-11-21 04:32:41,41.1254,-98.2681,302567,3108,0,,31.0,15641.322823313383,4103720.0,0,1.0272105021367168,84000031.0,USA,212143.4568095252,0
32,Nevada,US,2021-11-21 04:32:41,38.3135,-117.0554,452173,7917,0,,32.0,14680.198015944648,4734678.0,0,1.7508785354278118,84000032.0,USA,153715.52609673014,0
33,New Hampshire,US,2021-11-21 04:32:41,43.4525,-71.5639,150813,1662,0,,33.0,11091.548130448313,2806733.0,0,1.102027013586362,84000033.0,USA,206421.2909949247,0
34,New Jersey,US,2021-11-21 04:32:41,40.2989,-74.521,1230366,28250,0,,34.0,13852.056756272948,16192111.0,0,2.296064748213133,84000034.0,USA,182298.63355771493,0
35,New Mexico,US,2021-11-21 04:32:41,34.8405,-106.2485,301937,5263,0,,35.0,14399.69592179429,5170908.0,0,1.7430788541980609,84000035.0,USA,246606.0894808304,0
36,New York,US,2021-11-21 04:32:41,42.1657,-74.9481,2665759,57158,0,,36.0,13703.192952693853,79004607.0,0,2.1441548166957327,84000036.0,USA,406118.9979562096,0
37,North Carolina,US,2021-11-21 04:32:41,35.6301,-79.8064,1514879,18597,0,,37.0,14443.810709372656,17468457.0,0,1.2276228002368506,84000037.0,USA,166555.27358476535,0
38,North Dakota,US,2021-11-21 04:32:41,47.5289,-99.78399999999999,158338,1889,0,,38.0,20777.574528056768,1932749.0,0,1.1930174689588096,84000038.0,USA,253620.965223302,0
39,Northern Mariana Islands,US,2021-11-21 04:32:41,15.0979,145.6739,395,3,0,,69.0,716.3063977948642,17542.0,0,0.7594936708860759,580.0,MNP,31811.25779776585,0
40,Ohio,US,2021-11-21 04:32:41,40.3888,-82.7649,1639070,26063,0,,39.0,14022.208724367143,17792648.0,0,1.5901090252399226,84000039.0,USA,152215.72233961555,0
41,Oklahoma,US,2021-11-21 04:32:41,35.5653,-96.9289,658600,11772,0,,40.0,16644.04414386661,4653199.0,0,1.7874278773155177,84000040.0,USA,117594.9735289948,0
42,Oregon,US,2021-11-21 04:32:41,44.571999999999996,-122.0709,384062,4914,0,,41.0,9105.878341869113,7918688.0,0,1.279480917143586,84000041.0,USA,187747.31568137128,0
43,Pennsylvania,US,2021-11-21 04:32:41,40.5908,-77.2098,1680752,32911,0,,42.0,13128.834902139035,19447400.0,0,1.958111607185355,84000042.0,USA,151909.20723334476,0
44,Puerto Rico,US,2021-11-21 04:32:41,18.2208,-66.5901,187755,3261,0,,72.0,5878.928914291726,3073559.0,0,1.736837900455381,630.0,PRI,96238.36848489556,0
45,Rhode Island,US,2021-11-21 04:32:41,41.6809,-71.5118,186387,2906,0,,44.0,17594.285611798055,5933265.0,0,1.5591216125588159,84000044.0,USA,560079.6140314775,0
46,South Carolina,US,2021-11-21 04:32:41,33.8569,-80.945,911624,14096,0,,45.0,17705.858200707982,9910905.0,0,1.5462515247514326,84000045.0,USA,192492.82442178766,0
