,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2021-10-23 04:31:32,32.3182,-86.9023,818652,15378,0,,1.0,16696.33105828151,5961814.0,0,1.8784538485217157,84000001.0,USA,121590.63955367786,0
1,Alaska,US,2021-10-23 04:31:32,61.3707,-152.4044,133272,698,0,,2.0,18217.881333342448,3249545.0,0,0.5237409208235788,84000002.0,USA,444203.0223704626,0
2,American Samoa,US,2021-10-23 04:31:32,-14.270999999999999,-170.132,3,0,0,,60.0,5.3917075537822825,2140.0,0,0.0,16.0,ASM,3846.084721698028,0
3,Arizona,US,2021-10-23 04:31:32,33.7298,-111.4312,1145196,20821,0,,4.0,15733.48709669575,13298231.0,0,1.81811672412408,84000004.0,USA,182700.20664356093,0
4,Arkansas,US,2021-10-23 04:31:32,34.9697,-92.3731,509559,8255,0,,5.0,16885.09260376088,4041275.0,0,1.6200282989800985,84000005.0,USA,133914.42916769945,0
5,California,US,2021-10-23 04:31:32,36.1162,-119.6816,4869755,71328,0,,6.0,12272.015168572014,99372992.0,0,1.4710000895039868,84000006.0,USA,251499.37020754308,0
6,Colorado,US,2021-10-23 04:31:32,39.0598,-105.3111,720620,8029,0,,8.0,12513.509909118946,11789313.0,0,1.1141794565790568,84000008.0,USA,204720.49769254922,0
7,Connecticut,US,2021-10-23 04:31:32,41.5978,-72.7554,400226,8739,0,,9.0,11225.632045891396,10463360.0,0,2.183516313282995,84000009.0,USA,293478.7578110823,0
8,Delaware,US,2021-10-23 04:31:32,39.3185,-75.5071,141717,2045,0,,10.0,14553.526316438069,2329026.0,0,1.4430167164136978,84000010.0,USA,239177.66522483891,0
9,Diamond Princess,US,2021-10-23 04:31:32,0,,49,0,0,,88888.0,0,,0,0.0,84088888.0,USA,0,0
