,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2021-11-26 04:32:55,32.3182,-86.9023,844594,16115,0,,1.0,17225.415724676917,6257795.0,0,1.9080173432442096,84000001.0,USA,127627.1443969583,0
1,Alaska,US,2021-11-26 04:32:55,61.3707,-152.4044,149461,870,0,,2.0,20430.868914420847,3502446.0,0,0.5820916493265802,84000002.0,USA,478773.8279941767,0
2,American Samoa,US,2021-11-26 04:32:55,-14.270999999999999,-170.132,4,0,0,,60.0,7.1889434050430445,2140.0,0,0.0,16.0,ASM,3846.084721698028,0
3,Arizona,US,2021-11-26 04:32:55,33.7298,-111.4312,1255597,22173,0,,4.0,17250.25165836232,14450320.0,0,1.7659328590304055,84000004.0,USA,198528.39449589807,0
4,Arkansas,US,2021-11-26 04:32:55,34.9697,-92.3731,526403,8652,0,,5.0,17443.246811257457,4210491.0,0,1.6436076542116966,84000005.0,USA,139521.6853049436,0
5,California,US,2021-11-26 04:32:55,36.1162,-119.6816,5056610,74098,0,,6.0,12800.492141381164,109974133.0,0,1.4650361948839397,84000006.0,USA,278329.39948734344,0
6,Colorado,US,2021-11-26 04:32:55,39.0598,-105.3111,820431,9081,0,,8.0,14246.72011358048,12965846.0,0,1.106857249421341,84000008.0,USA,225150.90116997896,0
7,Connecticut,US,2021-11-26 04:32:55,41.5978,-72.7554,416573,8865,0,,9.0,11684.136508505486,11055352.0,0,2.128078392022527,84000009.0,USA,310083.0872802105,0
8,Delaware,US,2021-11-26 04:32:55,39.3185,-75.5071,151655,2173,0,,10.0,15574.102143845945,2489093.0,0,1.4328574725528338,84000010.0,USA,255615.6317136391,0
9,Diamond Princess,US,2021-11-26 04:32:55,0,,49,0,0,,88888.0,0,,0,0.0,84088888.0,USA,0,0
10,District of Columbia,US,2021-11-26 04:32:55,38.8974,-77.0268,66510,1196,0,,11.0,9424.030356401498,2378887.0,0,1.79822583070215,84000011.0,USA,337072.67031196645,0
11,Florida,US,2021-11-26 04:32:55,27.7663,-81.6868,3721503,61147,0,,12.0,17327.258453718845,43520530.0,0,1.6430727047647151,84000012.0,USA,202630.89169962367,0
12,Georgia,US,2021-11-26 04:32:55,33.0406,-83.6431,1659491,30358,0,,13.0,15629.884954192745,12967931.0,0,1.8293561097951117,84000013.0,USA,122138.2156479967,0
13,Grand Princess,US,2021-11-26 04:32:55,0,,103,3,0,,99999.0,0,,0,2.912621359223301,84099999.0,USA,0,0
14,Guam,US,2021-11-26 04:32:55,13.4443,144.7937,19155,263,0,,66.0,11663.591692088488,260682.0,0,1.3730096580527278,316.0,GUM,158730.79663153278,0
